Indicador,Solucion
IMIA,[0.95061303 0.2340179  0.05283346]
IMIA,[7.48228891e-01 5.01190650e-04 6.63611258e-01]
IMIA,[0. 1. 0.]
IMIA,[0.68193011 0.43547925 0.44797369]
IMIA,[0.00674126 0.35411755 0.93391152]
IMIA,[6.39048922e-01 6.00792000e-01 2.73285644e-04]
IMIA,[0.02096265 0.85512874 0.50060765]
IMIA,[0.44521112 0.60048625 0.50516133]
IMIA,[7.44324580e-20 7.54157701e-01 6.56693354e-01]
IMIA,[0.57570273 0.4190063  0.6050253 ]
IMIA,[0.29162271 0.76677027 0.37673159]
IMIA,[0.18492398 0.43490539 0.84352648]
IMIA,[0.38692102 0.37815256 0.78599983]
IMIA,[0.38921928 0.24018701 0.87730878]
IMIA,[0.63785257 0.38341343 0.62780457]
IMIA,[0.00758777 0.72325204 0.74013992]
IMIA,[9.01224093e-02 9.89614305e-04 9.95929713e-01]
IMIA,[9.41917901e-04 9.97886127e-01 5.72966574e-02]
IMIA,[0.00116532 0.46413343 0.88545955]
IMIA,[0.70772195 0.30166399 0.57400149]
IMIA,[0.450808   0.11881693 0.87715535]
IMIA,[4.97482529e-06 7.62828655e-04 9.99999707e-01]
IMIA,[0.01553662 0.96931972 0.21269262]
IMIA,[0.82304859 0.         0.56797097]
IMIA,[0.79313439 0.00156487 0.60904265]
IMIA,[0.73614995 0.5097881  0.07925936]
IMIA,[0.66948    0.34753289 0.57626261]
IMIA,[0.14739534 0.92336083 0.00319323]
IMIA,[0.25789902 0.62504743 0.64145613]
IMIA,[0.07448624 0.87182874 0.41490008]
IMIA,[0.12959976 0.47830655 0.83682142]
IMIA,[0.7329408  0.34288735 0.50949322]
IMIA,[0.55191448 0.47632627 0.56301434]
IMIA,[0.33668631 0.75128759 0.34592996]
IMIA,[0.63551416 0.05226983 0.7685543 ]
IMIA,[2.86060190e-01 8.44949399e-01 6.13108730e-04]
IMIA,[0.87744666 0.29399321 0.25537233]
IMIA,[0.0634664  0.34434304 0.92599518]
IMIA,[0.42211371 0.65584364 0.4358401 ]
IMIA,[0.53540663 0.01652666 0.84427113]
IMIA,[0.04108189 0.92621566 0.32127972]
IMIA,[0.34762264 0.44028067 0.76235558]
IMIA,[0.89788524 0.         0.53180162]
IMIA,[0.40400145 0.78993565 0.12975927]
IMIA,[0.28310236 0.68974455 0.56194596]
IMIA,[0.15134699 0.45259667 0.88687966]
IMIA,[0.38048425 0.74272676 0.30988692]
IMIA,[0.02603389 0.62641397 0.78859346]
IMIA,[0.11657462 0.89225917 0.3130446 ]
IMIA,[0.08773715 0.83047054 0.49352968]
IMIA,[0.18782764 0.53254323 0.78492177]
IMIA,[0.27098203 0.12172597 0.96303862]
IMIA,[0.55813627 0.6342068  0.23918304]
IMIA,[0.10136447 0.93563248 0.159765  ]
IMIA,[0.06050267 0.16038588 0.98723813]
IMIA,[0.82020649 0.36607282 0.2805994 ]
IMIA,[0.08454467 0.76186235 0.59285866]
IMIA,[0.88385018 0.1981147  0.37696908]
IMIA,[0.65642581 0.16762453 0.71731127]
IMIA,[0.49995974 0.51078318 0.57428816]
IMIA,[0.43080281 0.30014355 0.81114961]
IMIA,[9.90368387e-01 2.59672165e-04 1.38456937e-01]
IMIA,[2.43671580e-04 5.91375443e-01 8.06306985e-01]
IMIA,[0.52218635 0.63466675 0.32015012]
IMIA,[0.26023419 0.4184663  0.82278972]
IMIA,[0.72096049 0.52781708 0.02648757]
IMIA,[1.92542756e-04 1.74949655e-01 9.84560265e-01]
IMIA,[9.37598701e-01 1.55275499e-12 3.47719248e-01]
IMIA,[0.01414931 0.9522156  0.28233275]
IMIA,[3.85251990e-01 3.03296887e-04 9.22811313e-01]
IMIA,[0.30832495 0.48620793 0.74753232]
IMIA,[0.33076275 0.00224238 0.94370861]
IMIA,[0.16333559 0.09517492 0.97832429]
IMIA,[2.15583057e-04 2.97899161e-01 9.54563693e-01]
IMIA,[0.87007709 0.36044262 0.00267185]
IMIA,[2.66848535e-05 5.04549849e-01 8.63374766e-01]
IMIA,[0.58703908 0.         0.8095586 ]
IMIA,[4.55160694e-01 7.38132309e-01 2.04868058e-20]
IMIA,[0.003709   0.6635073  0.74651874]
IMIA,[0.68493236 0.56067128 0.03298633]
IMIA,[0.59068487 0.48689334 0.50210082]
IMIA,[0.96940971 0.         0.24544817]
IMIA,[8.81899381e-01 5.17102486e-04 4.71437109e-01]
IMIA,[0.69939096 0.4727413  0.34739561]
IMIA,[0.95019543 0.19639001 0.14666574]
IMIA,[0.83614219 0.25450719 0.42001522]
IMIA,[0.62616236 0.2668995  0.68928793]
IMIA,[4.85848255e-05 9.36619087e-01 3.50284426e-01]
IMIA,[0.90849001 0.30223457 0.01734858]
IMIA,[0.92312209 0.07155618 0.3709925 ]
IMIA,[0.00900367 0.98400482 0.15111005]
IMIA,[0.37410366 0.54527159 0.64579039]
IMIA,[0.65664911 0.53390067 0.29628498]
IMIA,[0.17786442 0.90665135 0.0114243 ]
IMIA,[4.21919238e-01 4.65810766e-06 9.06633419e-01]
IMIA,[0.82568213 0.32452087 0.34673923]
IMIA,[0.81407661 0.22043949 0.49316564]
IMIA,[0.45484878 0.66782891 0.36009609]
IMIA,[1. 0. 0.]
IMIA,[0.52023528 0.68895964 0.08304384]
IMIA,[0.00326055 0.40180195 0.91500807]
IMIA,[3.49576953e-01 8.06488093e-01 4.77838501e-05]
IMIA,[0.03774561 0.23645808 0.96665484]
IMIA,[0.16524031 0.63872329 0.68699217]
IMIA,[0.23768208 0.80406906 0.36336984]
IMIA,[0.24116912 0.30325419 0.8945671 ]
IMIA,[0.97889842 0.03753425 0.19733805]
IMIA,[0.51365318 0.37965309 0.69893081]
IMIA,[0.89247806 0.12838877 0.4133319 ]
IMIA,[0.7674433  0.48222167 0.0055465 ]
IMIA,[0.0029911  0.81389112 0.57891479]
IMIA,[0.37836611 0.76360407 0.21833798]
IMIA,[0.16811892 0.00338448 0.9857551 ]
IMIA,[5.47641614e-01 6.72575933e-01 2.46740290e-10]
IMIA,[0.83441862 0.39689436 0.11772079]
IMIA,[0.21947406 0.27658889 0.9132945 ]
IMIA,[0.7705945  0.41543047 0.30641496]
IMIA,[0.21442601 0.866425   0.19778128]
IMIA,[0.48190517 0.61525354 0.43234974]
IMIA,[0.78834831 0.14987154 0.57822307]
IMIA,[0.39732146 0.07203215 0.9120957 ]
IMIA,[0.21084374 0.6825275  0.60524006]
IMIA,[0.03509625 0.70864603 0.68726013]
IMIA,[0.01701266 0.54644035 0.83184175]
IMIA,[0.78704746 0.34741976 0.39550651]
IMIA,[0.7188219  0.03148021 0.69376866]
IMIA,[0.39028247 0.30435631 0.83072462]
IMIA,[0.68000162 0.26138095 0.63941667]
IMIA,[0.24124277 0.87106672 0.        ]
IMIA,[0.2599946  0.56492954 0.70451317]
IMIA,[0.80021553 0.44637981 0.0297128 ]
IMIA,[0.00141539 0.89219655 0.45024605]
IMIA,[0.17524028 0.7745284  0.49815345]
IMIA,[0.24530074 0.84720449 0.20535802]
IMIA,[0.65668391 0.57047149 0.16342159]
IMIA,[0.91501559 0.24846853 0.20798314]
IMIA,[0.12586727 0.1805079  0.96717852]
IMIA,[0.24396849 0.00219221 0.9697782 ]
IMIA,[0.90696913 0.02091514 0.42015753]
IMIA,[0.50355946 0.70354795 0.04418963]
